Opening ..\Client\bin\Debug\netcoreapp3.1\2020-05-26.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-05-29.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-01.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-02.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-03.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-04.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-05.tsv...
Name	Date	Min_Date	Max_Date	WallClock	Fitness	Count	Error_Count	Total_Duration	Total_Mbps	Total_ErrorDuration	Avg_Duration	Avg_Mbps	Avg_Errors	Avg_ErrorDuration	Min_Duration	Max_Duration	Min_Mbps	Max_Mbps
2020-05-26	2020-05-26T07:03:00.0000000	2020-05-26T07:03:40.1332574-07:00	2020-05-26T07:03:59.6763956-07:00	19543.139	1.0831423	32	0	21168	81.79	0	661.5	2.5559375	0	0	470	1650	0.93	3.26
2020-05-26	2020-05-26T07:04:00.0000000	2020-05-26T07:04:00.5388151-07:00	2020-05-26T07:04:59.7996463-07:00	59260.832	1.0136374	95	0	60069	248.78001	0	632.30524	2.618737	0	0	425	1515	1.01	3.6
2020-05-26	2020-05-26T07:05:00.0000000	2020-05-26T07:05:00.4253338-07:00	2020-05-26T07:05:59.8053606-07:00	59380.027	1.0095482	101	0	59947	281.47986	0	593.53467	2.7869294	0	0	403	1409	1.09	3.8
2020-05-26	2020-05-26T07:06:00.0000000	2020-05-26T07:06:00.2510393-07:00	2020-05-26T07:06:59.8368645-07:00	59585.824	1.0064977	98	0	59973	268.38998	0	611.96936	2.7386732	0	0	420	1618	0.95	3.64
2020-05-26	2020-05-26T07:07:00.0000000	2020-05-26T07:07:00.3601108-07:00	2020-05-26T07:07:59.9363564-07:00	59576.246	1.0077003	102	0	60035	283.68002	0	588.5784	2.7811768	0	0	345	1544	0.99	4.43
2020-05-26	2020-05-26T07:08:00.0000000	2020-05-26T07:08:00.4011422-07:00	2020-05-26T07:08:59.5283079-07:00	59127.164	1.0038364	95	0	59354	256.96994	0	624.77893	2.7049468	0	0	397	1563	0.98	3.86
2020-05-26	2020-05-26T07:09:00.0000000	2020-05-26T07:09:00.0893408-07:00	2020-05-26T07:09:59.9490134-07:00	59859.67	1.0082247	108	0	60352	311.54	0	558.8148	2.8846297	0	0	400	1327	1.15	3.83
2020-05-26	2020-05-26T07:10:00.0000000	2020-05-26T07:10:00.4808438-07:00	2020-05-26T07:10:59.2603268-07:00	58779.484	1.0080729	91	0	59254	233.86008	0	651.1429	2.569891	0	0	420	1392	1.1	3.64
2020-05-26	2020-05-26T07:11:00.0000000	2020-05-26T07:11:00.1293879-07:00	2020-05-26T07:11:59.6146331-07:00	59485.246	1.0025679	80	0	59638	183.29001	0	745.475	2.291125	0	0	399	1360	1.13	3.83
2020-05-26	2020-05-26T07:12:00.0000000	2020-05-26T07:12:00.4941350-07:00	2020-05-26T07:12:58.6351444-07:00	58141.008	1.0143615	72	0	58976	148.00002	0	819.1111	2.0555558	0	0	467	1873	0.82	3.27
2020-05-26	2020-05-26T07:13:00.0000000	2020-05-26T07:13:00.1933231-07:00	2020-05-26T07:13:59.6928545-07:00	59499.53	1.025403	72	0	61011	147.54	0	847.375	2.0491667	0	0	306	1558	0.98	4.99
2020-05-26	2020-05-26T07:14:00.0000000	2020-05-26T07:14:00.2637690-07:00	2020-05-26T07:14:59.9846303-07:00	59720.86	0.98871654	71	0	59047	146.18001	0	831.6479	2.0588734	0	0	413	1456	1.05	3.71
2020-05-26	2020-05-26T07:15:00.0000000	2020-05-26T07:15:00.5759274-07:00	2020-05-26T07:15:59.8986186-07:00	59322.69	0.65480846	40	1	38845	69.52999	21046	971.125	1.7382498	0.024390243	21046	516	1539	1	2.96
2020-05-26	2020-05-26T07:16:00.0000000	2020-05-26T07:16:00.5521615-07:00	2020-05-26T07:16:59.8372058-07:00	59285.043	1.0103729	68	0	59900	128.03001	0	880.8823	1.8827944	0	0	488	1481	1.03	3.14
2020-05-26	2020-05-26T07:17:00.0000000	2020-05-26T07:17:00.4414710-07:00	2020-05-26T07:17:58.6808622-07:00	58239.39	1.0095916	70	0	58798	141.01	0	839.97144	2.0144284	0	0	440	1533	1	3.48
2020-05-26	2020-05-26T07:18:00.0000000	2020-05-26T07:18:00.0518030-07:00	2020-05-26T07:18:59.7740130-07:00	59722.21	1.0222328	70	0	61050	134.72997	0	872.1429	1.9247137	0	0	426	1582	0.97	3.59
2020-05-26	2020-05-26T07:19:00.0000000	2020-05-26T07:19:00.4661719-07:00	2020-05-26T07:19:58.7813152-07:00	58315.145	1.0111781	68	0	58967	129.43001	0	867.16174	1.9033824	0	0	497	1527	1	3.08
2020-05-26	2020-05-26T07:20:00.0000000	2020-05-26T07:20:00.0412086-07:00	2020-05-26T07:20:59.5643517-07:00	59523.145	0.6670346	47	1	39704	94.759995	21046	844.7659	2.01617	0.020833334	21046	419	1430	1.07	3.65
2020-05-26	2020-05-26T07:21:00.0000000	2020-05-26T07:21:00.0532722-07:00	2020-05-26T07:21:59.3541314-07:00	59300.86	1.0075402	68	0	59748	136.88002	0	878.64703	2.0129414	0	0	413	1556	0.98	3.7
2020-05-26	2020-05-26T07:22:00.0000000	2020-05-26T07:22:00.1058223-07:00	2020-05-26T07:22:59.4571052-07:00	59351.28	1.0119411	70	0	60060	134.76999	0	858	1.9252856	0	0	454	1603	0.96	3.37
2020-05-26	2020-05-26T07:23:00.0000000	2020-05-26T07:23:00.3117651-07:00	2020-05-26T07:23:59.7250925-07:00	59413.33	1.0137287	73	0	60229	150.15002	0	825.0548	2.0568497	0	0	295	1727	0.89	5.18
2020-05-26	2020-05-26T07:24:00.0000000	2020-05-26T07:24:00.2193605-07:00	2020-05-26T07:24:59.7186682-07:00	59499.31	1.0076755	71	0	59956	145.43	0	844.4507	2.0483098	0	0	422	1557	0.98	3.62
2020-05-26	2020-05-26T07:25:00.0000000	2020-05-26T07:25:00.5267459-07:00	2020-05-26T07:25:58.6272605-07:00	58100.516	1.0131924	67	0	58867	126.47001	0	878.61194	1.8876121	0	0	504	1602	0.96	3.03
2020-05-26	2020-05-26T07:26:00.0000000	2020-05-26T07:26:00.0247496-07:00	2020-05-26T07:26:59.6130385-07:00	59588.29	1.022768	67	0	60945	121.60999	0	909.6269	1.8150746	0	0	542	1691	0.91	2.82
2020-05-26	2020-05-26T07:27:00.0000000	2020-05-26T07:27:00.1859333-07:00	2020-05-26T07:27:59.2838763-07:00	59097.94	1.0089015	71	0	59624	142.18001	0	839.77466	2.0025353	0	0	435	1377	1.11	3.52
2020-05-26	2020-05-26T07:28:00.0000000	2020-05-26T07:28:00.2564421-07:00	2020-05-26T07:28:59.2026711-07:00	58946.23	1.0157732	71	0	59876	139.80997	0	843.3239	1.9691545	0	0	423	1342	1.14	3.62
2020-05-26	2020-05-26T07:29:00.0000000	2020-05-26T07:29:00.1325162-07:00	2020-05-26T07:29:59.0555474-07:00	58923.03	0.30147803	19	2	17764	34.44	42077	934.9474	1.8126315	0.0952381	21038.5	550	1575	0.97	2.78
2020-05-26	2020-05-26T07:30:00.0000000	2020-05-26T07:30:00.2040727-07:00	2020-05-26T07:30:47.0435091-07:00	46839.438	0.12557794	7	2	5882	13.27	42100	840.2857	1.8957144	0.22222222	21050	560	1148	1.33	2.73
2020-05-26	2020-05-26T07:31:00.0000000	2020-05-26T07:31:08.1061369-07:00	2020-05-26T07:31:59.7383496-07:00	51632.21	0.18534942	14	3	9570	36.93	63116	683.5714	2.6378572	0.1764706	21038.666	466	1891	0.81	3.29
2020-05-26	2020-05-26T07:32:00.0000000	2020-05-26T07:32:00.2333528-07:00	2020-05-26T07:32:45.5961274-07:00	45362.773	0.083504595	7	2	3788	20.04	42065	541.1429	2.8628573	0.22222222	21032.5	454	632	2.42	3.37
2020-05-26	2020-05-26T07:33:00.0000000	2020-05-26T07:33:06.6482936-07:00	2020-05-26T07:33:54.2642666-07:00	47615.973	0.11319731	8	3	5390	20.589998	63272	673.75	2.5737498	0.27272728	21090.666	474	1416	1.08	3.23
2020-05-26	2020-05-26T07:34:00.0000000	2020-05-26T07:34:15.3065201-07:00	2020-05-26T07:34:47.0199693-07:00	31713.45	0.33607194	18	2	10658	49.97	42086	592.1111	2.7761111	0.1	21043	396	1160	1.32	3.86
2020-05-26	2020-05-26T07:35:00.0000000	2020-05-26T07:35:08.0530120-07:00	2020-05-26T07:35:44.4618790-07:00	36408.867	0.42110622	27	2	15332	76.05001	42089	567.85187	2.816667	0.06896552	21044.5	408	1250	1.22	3.75
2020-05-26	2020-05-26T07:36:00.0000000	2020-05-26T07:36:05.5110735-07:00	2020-05-26T07:36:59.9623165-07:00	54451.242	0.22691861	20	3	12356	51.719997	63130	617.8	2.586	0.13043478	21043.334	492	942	1.62	3.11
